ProductReference;ProductName;GarmentType;Material;Size;Collection;Weight
PRD01790;Dress Polyester M;Dress;Polyester;M;Winter;0.44
PRD01791;Shirt Linen L;Shirt;Linen;L;Summer;0.19
PRD01792;Sweater Cotton S;Sweater;Cotton;S;Spring;0.7
PRD01793;Dress Denim M;Dress;Denim;M;Spring;0.74
PRD01794;Coat Cotton L;Coat;Cotton;L;Spring;1.54
PRD01795;Shirt Polyester XL;Shirt;Polyester;XL;Summer;0.16
PRD01796;Shirt Silk M;Shirt;Silk;M;Winter;0.15
PRD01797;Coat Cotton XS;Coat;Cotton;XS;Spring;1.49
PRD01798;Shirt Polyester XL;Shirt;Polyester;XL;Winter;0.16
PRD01799;Shirt Cotton L;Shirt;Cotton;L;Winter;0.18
PRD01800;Shirt Cotton M;Shirt;Cotton;M;Winter;0.26
PRD01801;Shorts Cotton M;Shorts;Cotton;M;Winter;0.29
PRD01802;Sweater Cotton M;Sweater;Cotton;M;Winter;0.75
PRD01803;Jacket Cotton M;Jacket;Cotton;M;Autumn;0.95
PRD01804;Pants Denim L;Pants;Denim;L;Autumn;0.45
PRD01805;Pants Denim S;Pants;Denim;S;Winter;0.55
PRD01806;T-Shirt Cotton S;T-Shirt;Cotton;S;Spring;0.15
PRD01807;Suit Wool XS;Suit;Wool;XS;Spring;1.42
PRD01808;Shirt Cotton M;Shirt;Cotton;M;Summer;0.18
PRD01809;Shirt Cotton S;Shirt;Cotton;S;Winter;0.18
PRD01810;Shirt Cotton S;Shirt;Cotton;S;Winter;0.2
PRD01811;Suit Denim XS;Suit;Denim;XS;Summer;1.24
PRD01812;Sweater Denim S;Sweater;Denim;S;Winter;0.87
PRD01813;Pants Cotton M;Pants;Cotton;M;Summer;0.48
PRD01814;Shirt Cotton XS;Shirt;Cotton;XS;Spring;0.2
PRD01815;Shirt Cotton L;Shirt;Cotton;L;Summer;0.18
PRD01816;Shorts Polyester M;Shorts;Polyester;M;Summer;0.23
PRD01817;Pants Polyester S;Pants;Polyester;S;Summer;0.33
PRD01818;Sweater Cotton M;Sweater;Cotton;M;Spring;0.72
PRD01819;Suit Linen XL;Suit;Linen;XL;Winter;0.85
PRD01820;Jacket Cotton XL;Jacket;Cotton;XL;Autumn;0.67
PRD01821;Pants Silk XS;Pants;Silk;XS;Autumn;0.28
PRD01822;Shirt Wool L;Shirt;Wool;L;Summer;0.24
PRD01823;Suit Polyester M;Suit;Polyester;M;Winter;0.75
PRD01824;T-Shirt Linen S;T-Shirt;Linen;S;Spring;0.15
PRD01825;Suit Linen M;Suit;Linen;M;Summer;0.95
PRD01826;Skirt Cotton M;Skirt;Cotton;M;Winter;0.3
PRD01827;Shirt Cotton M;Shirt;Cotton;M;Summer;0.19
PRD01828;Shorts Denim L;Shorts;Denim;L;Autumn;0.46
PRD01829;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.13
PRD01830;Pants Cotton S;Pants;Cotton;S;Summer;0.38
PRD01831;Hoodie Polyester M;Hoodie;Polyester;M;Summer;0.69
PRD01832;Skirt Linen M;Skirt;Linen;M;Spring;0.28
PRD01833;Skirt Linen M;Skirt;Linen;M;Spring;0.29
PRD01834;Sweater Silk XL;Sweater;Silk;XL;Summer;0.42
PRD01835;T-Shirt Polyester L;T-Shirt;Polyester;L;Summer;0.11
PRD01836;Suit Cotton XL;Suit;Cotton;XL;Spring;1.04
PRD01837;Shirt Polyester L;Shirt;Polyester;L;Summer;0.15
PRD01838;Pants Linen M;Pants;Linen;M;Summer;0.35
PRD01839;Shorts Cotton M;Shorts;Cotton;M;Summer;0.31
PRD01840;Pants Cotton M;Pants;Cotton;M;Autumn;0.36
PRD01841;Jacket Cotton M;Jacket;Cotton;M;Winter;0.82
PRD01842;Jacket Polyester L;Jacket;Polyester;L;Summer;0.68
PRD01843;Jacket Silk M;Jacket;Silk;M;Winter;0.56
PRD01844;Suit Wool M;Suit;Wool;M;Summer;1.37
PRD01845;Shorts Denim L;Shorts;Denim;L;Summer;0.42
PRD01846;Pants Cotton L;Pants;Cotton;L;Summer;0.4
PRD01847;Shirt Silk M;Shirt;Silk;M;Winter;0.14
PRD01848;Shirt Linen L;Shirt;Linen;L;Winter;0.21
PRD01849;Blouse Cotton S;Blouse;Cotton;S;Winter;0.23
PRD01850;Suit Denim M;Suit;Denim;M;Summer;1.26
PRD01851;Pants Cotton XS;Pants;Cotton;XS;Autumn;0.38
PRD01852;T-Shirt Silk XS;T-Shirt;Silk;XS;Spring;0.11
PRD01853;T-Shirt Silk L;T-Shirt;Silk;L;Summer;0.13
PRD01854;T-Shirt Linen M;T-Shirt;Linen;M;Winter;0.14
PRD01855;Blouse Polyester L;Blouse;Polyester;L;Summer;0.19
PRD01856;Pants Cotton L;Pants;Cotton;L;Winter;0.41
PRD01857;Sweater Polyester S;Sweater;Polyester;S;Summer;0.49
PRD01858;Dress Cotton L;Dress;Cotton;L;Autumn;0.49
PRD01859;T-Shirt Linen M;T-Shirt;Linen;M;Autumn;0.16
PRD01860;Sweater Linen S;Sweater;Linen;S;Autumn;0.67
PRD01861;T-Shirt Silk L;T-Shirt;Silk;L;Winter;0.12
PRD01862;Suit Cotton L;Suit;Cotton;L;Winter;1.1
PRD01863;Shirt Linen M;Shirt;Linen;M;Spring;0.17
PRD01864;Skirt Denim XL;Skirt;Denim;XL;Autumn;0.46
PRD01865;Hoodie Linen M;Hoodie;Linen;M;Summer;0.67
PRD01866;Shorts Cotton XL;Shorts;Cotton;XL;Autumn;0.31
PRD01867;Shirt Cotton M;Shirt;Cotton;M;Summer;0.16
PRD01868;Shirt Cotton S;Shirt;Cotton;S;Summer;0.17
PRD01869;Shirt Polyester M;Shirt;Polyester;M;Summer;0.17
PRD01870;Sweater Polyester S;Sweater;Polyester;S;Winter;0.52
PRD01871;T-Shirt Denim M;T-Shirt;Denim;M;Spring;0.22
PRD01872;Pants Cotton L;Pants;Cotton;L;Winter;0.31
PRD01873;Dress Cotton M;Dress;Cotton;M;Summer;0.5
PRD01874;T-Shirt Polyester S;T-Shirt;Polyester;S;Spring;0.11
PRD01875;Sweater Linen M;Sweater;Linen;M;Winter;0.61
PRD01876;Skirt Denim S;Skirt;Denim;S;Spring;0.45
PRD01877;Skirt Linen L;Skirt;Linen;L;Summer;0.32
PRD01878;Dress Polyester L;Dress;Polyester;L;Winter;0.42
PRD01879;Pants Polyester XL;Pants;Polyester;XL;Winter;0.27
PRD01880;Skirt Silk S;Skirt;Silk;S;Autumn;0.18
PRD01881;Coat Polyester M;Coat;Polyester;M;Winter;1.22
PRD01882;Blouse Cotton M;Blouse;Cotton;M;Spring;0.23
PRD01883;Suit Cotton XL;Suit;Cotton;XL;Autumn;1.07
PRD01884;Sweater Cotton L;Sweater;Cotton;L;Spring;0.82
PRD01885;Shirt Wool S;Shirt;Wool;S;Autumn;0.22
PRD01886;Dress Cotton M;Dress;Cotton;M;Winter;0.46
PRD01887;Shirt Cotton L;Shirt;Cotton;L;Winter;0.18
PRD01888;Pants Cotton L;Pants;Cotton;L;Winter;0.39
PRD01889;Sweater Polyester L;Sweater;Polyester;L;Spring;0.56
PRD01890;Hoodie Cotton S;Hoodie;Cotton;S;Autumn;0.9
PRD01891;Shirt Wool XL;Shirt;Wool;XL;Summer;0.26
PRD01892;Jacket Cotton S;Jacket;Cotton;S;Summer;0.83
PRD01893;T-Shirt Cotton XL;T-Shirt;Cotton;XL;Winter;0.15
PRD01894;Pants Polyester L;Pants;Polyester;L;Autumn;0.32
PRD01895;Skirt Cotton L;Skirt;Cotton;L;Autumn;0.3
PRD01896;Sweater Cotton L;Sweater;Cotton;L;Winter;0.7
PRD01897;Suit Cotton S;Suit;Cotton;S;Spring;0.93
PRD01898;Shirt Silk XS;Shirt;Silk;XS;Summer;0.12
PRD01899;Jacket Wool S;Jacket;Wool;S;Summer;0.97
PRD01900;T-Shirt Cotton S;T-Shirt;Cotton;S;Summer;0.14
PRD01901;Skirt Cotton M;Skirt;Cotton;M;Winter;0.32
PRD01902;Shirt Denim S;Shirt;Denim;S;Spring;0.26
PRD01903;Sweater Wool L;Sweater;Wool;L;Summer;0.84
PRD01904;Shirt Polyester M;Shirt;Polyester;M;Summer;0.18
PRD01905;Sweater Wool L;Sweater;Wool;L;Winter;0.72
PRD01906;Pants Linen L;Pants;Linen;L;Summer;0.42
PRD01907;Shorts Linen M;Shorts;Linen;M;Winter;0.21
PRD01908;Jacket Polyester S;Jacket;Polyester;S;Autumn;0.73
PRD01909;Pants Polyester M;Pants;Polyester;M;Summer;0.33
PRD01910;Shirt Cotton L;Shirt;Cotton;L;Winter;0.19
PRD01911;Pants Silk M;Pants;Silk;M;Winter;0.24
PRD01912;Blouse Polyester M;Blouse;Polyester;M;Spring;0.19
PRD01913;Hoodie Cotton L;Hoodie;Cotton;L;Summer;0.89
PRD01914;Jacket Silk S;Jacket;Silk;S;Spring;0.57
PRD01915;Jacket Silk L;Jacket;Silk;L;Winter;0.64
PRD01916;Sweater Denim M;Sweater;Denim;M;Summer;0.92
PRD01917;Blouse Silk L;Blouse;Silk;L;Autumn;0.18
PRD01918;Skirt Denim XL;Skirt;Denim;XL;Winter;0.4
PRD01919;Jacket Cotton L;Jacket;Cotton;L;Winter;0.77
PRD01920;Jacket Linen M;Jacket;Linen;M;Autumn;0.71
PRD01921;Coat Linen S;Coat;Linen;S;Autumn;1.34
PRD01922;Shirt Cotton L;Shirt;Cotton;L;Autumn;0.21
PRD01923;Suit Cotton M;Suit;Cotton;M;Summer;0.91
PRD01924;Jacket Denim S;Jacket;Denim;S;Winter;0.99
PRD01925;T-Shirt Cotton L;T-Shirt;Cotton;L;Autumn;0.16
PRD01926;Shirt Silk M;Shirt;Silk;M;Autumn;0.12
PRD01927;Skirt Cotton XS;Skirt;Cotton;XS;Winter;0.3
PRD01928;Dress Cotton XL;Dress;Cotton;XL;Spring;0.47
PRD01929;Suit Polyester M;Suit;Polyester;M;Winter;0.84
PRD01930;Shirt Cotton M;Shirt;Cotton;M;Winter;0.23
PRD01931;Skirt Wool L;Skirt;Wool;L;Winter;0.34
PRD01932;Skirt Polyester L;Skirt;Polyester;L;Summer;0.26
PRD01933;Skirt Cotton XS;Skirt;Cotton;XS;Winter;0.31
PRD01934;Skirt Cotton L;Skirt;Cotton;L;Summer;0.29
PRD01935;Coat Cotton L;Coat;Cotton;L;Spring;1.5
PRD01936;T-Shirt Cotton S;T-Shirt;Cotton;S;Spring;0.17
PRD01937;Pants Linen M;Pants;Linen;M;Spring;0.35
PRD01938;T-Shirt Polyester S;T-Shirt;Polyester;S;Winter;0.14
PRD01939;Dress Cotton L;Dress;Cotton;L;Winter;0.49
PRD01940;Shirt Polyester L;Shirt;Polyester;L;Spring;0.14
PRD01941;Shirt Cotton S;Shirt;Cotton;S;Summer;0.2
PRD01942;Pants Cotton L;Pants;Cotton;L;Winter;0.34
PRD01943;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.15
PRD01944;Coat Silk M;Coat;Silk;M;Summer;1.01
PRD01945;T-Shirt Silk L;T-Shirt;Silk;L;Autumn;0.12
PRD01946;Dress Linen XS;Dress;Linen;XS;Summer;0.52
PRD01947;Jacket Cotton XL;Jacket;Cotton;XL;Winter;0.81
PRD01948;Shirt Cotton M;Shirt;Cotton;M;Winter;0.22
PRD01949;Pants Polyester L;Pants;Polyester;L;Spring;0.31
PRD01950;Jacket Wool L;Jacket;Wool;L;Spring;0.82
PRD01951;Shirt Denim M;Shirt;Denim;M;Spring;0.27
PRD01952;Pants Cotton L;Pants;Cotton;L;Spring;0.41
PRD01953;Skirt Cotton L;Skirt;Cotton;L;Spring;0.27
PRD01954;Sweater Wool XL;Sweater;Wool;XL;Winter;0.76
PRD01955;Hoodie Linen M;Hoodie;Linen;M;Winter;0.89
PRD01956;Shorts Linen S;Shorts;Linen;S;Spring;0.22
PRD01957;Suit Wool XL;Suit;Wool;XL;Summer;1.27
PRD01958;Jacket Denim L;Jacket;Denim;L;Autumn;1.01
PRD01959;Suit Polyester L;Suit;Polyester;L;Winter;0.84
PRD01960;T-Shirt Silk XL;T-Shirt;Silk;XL;Winter;0.12
PRD01961;Shirt Denim S;Shirt;Denim;S;Summer;0.24
PRD01962;Jacket Linen M;Jacket;Linen;M;Spring;0.64
PRD01963;T-Shirt Cotton S;T-Shirt;Cotton;S;Spring;0.17
PRD01964;Jacket Cotton L;Jacket;Cotton;L;Autumn;0.8
PRD01965;Skirt Polyester L;Skirt;Polyester;L;Winter;0.25
PRD01966;Skirt Polyester XL;Skirt;Polyester;XL;Summer;0.26
PRD01967;Shirt Silk M;Shirt;Silk;M;Summer;0.13
PRD01968;Jacket Cotton L;Jacket;Cotton;L;Winter;0.87
PRD01969;Pants Cotton XL;Pants;Cotton;XL;Autumn;0.43
PRD01970;Shirt Linen L;Shirt;Linen;L;Autumn;0.21
PRD01971;Shirt Cotton S;Shirt;Cotton;S;Spring;0.23
PRD01972;T-Shirt Cotton L;T-Shirt;Cotton;L;Spring;0.15
PRD01973;Pants Cotton XL;Pants;Cotton;XL;Autumn;0.43
PRD01974;Dress Polyester XL;Dress;Polyester;XL;Summer;0.4
PRD01975;Pants Cotton L;Pants;Cotton;L;Summer;0.41
PRD01976;Shorts Silk L;Shorts;Silk;L;Summer;0.19
PRD01977;Pants Polyester S;Pants;Polyester;S;Winter;0.31
PRD01978;Jacket Silk S;Jacket;Silk;S;Summer;0.46
PRD01979;Blouse Polyester XL;Blouse;Polyester;XL;Autumn;0.2
PRD01980;T-Shirt Cotton S;T-Shirt;Cotton;S;Winter;0.17
PRD01981;Shirt Cotton S;Shirt;Cotton;S;Spring;0.22
PRD01982;T-Shirt Cotton M;T-Shirt;Cotton;M;Winter;0.15
PRD01983;Dress Polyester M;Dress;Polyester;M;Autumn;0.39
PRD01984;Dress Cotton L;Dress;Cotton;L;Spring;0.47
PRD01985;Shirt Cotton M;Shirt;Cotton;M;Winter;0.18
PRD01986;Shirt Polyester XL;Shirt;Polyester;XL;Winter;0.17
PRD01987;Sweater Cotton XL;Sweater;Cotton;XL;Spring;0.59
PRD01988;Dress Cotton M;Dress;Cotton;M;Summer;0.42
PRD01989;Jacket Linen M;Jacket;Linen;M;Spring;0.79
PRD01990;Sweater Denim L;Sweater;Denim;L;Spring;0.93
PRD01991;Sweater Cotton L;Sweater;Cotton;L;Spring;0.7
PRD01992;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.2
PRD01993;Suit Denim M;Suit;Denim;M;Spring;1.56
PRD01994;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.2
PRD01995;Sweater Denim S;Sweater;Denim;S;Autumn;0.94
PRD01996;Suit Cotton M;Suit;Cotton;M;Autumn;1.21
PRD01997;Shorts Silk L;Shorts;Silk;L;Spring;0.21
PRD01998;Shirt Cotton L;Shirt;Cotton;L;Summer;0.23
PRD01999;Shirt Denim L;Shirt;Denim;L;Summer;0.21
PRD02000;Pants Cotton M;Pants;Cotton;M;Autumn;0.35
PRD02001;Pants Wool L;Pants;Wool;L;Summer;0.45
PRD02002;Pants Cotton XS;Pants;Cotton;XS;Summer;0.42
PRD02003;Blouse Cotton M;Blouse;Cotton;M;Autumn;0.29
PRD02004;Pants Linen L;Pants;Linen;L;Winter;0.34
PRD02005;Pants Polyester L;Pants;Polyester;L;Summer;0.35
PRD02006;Sweater Silk M;Sweater;Silk;M;Spring;0.6
PRD02007;Jacket Polyester L;Jacket;Polyester;L;Summer;0.74
PRD02008;T-Shirt Silk XL;T-Shirt;Silk;XL;Winter;0.1
PRD02009;Shirt Polyester M;Shirt;Polyester;M;Spring;0.17
PRD02010;Dress Denim L;Dress;Denim;L;Winter;0.67
PRD02011;Shirt Denim XL;Shirt;Denim;XL;Spring;0.24
PRD02012;Shirt Cotton L;Shirt;Cotton;L;Winter;0.21
PRD02013;Blouse Silk M;Blouse;Silk;M;Winter;0.17
PRD02014;Shirt Linen XS;Shirt;Linen;XS;Winter;0.18
PRD02015;Skirt Cotton M;Skirt;Cotton;M;Summer;0.26
PRD02016;Jacket Polyester M;Jacket;Polyester;M;Spring;0.53
PRD02017;Pants Cotton L;Pants;Cotton;L;Spring;0.39
PRD02018;Blouse Linen M;Blouse;Linen;M;Summer;0.23
PRD02019;Shirt Cotton XL;Shirt;Cotton;XL;Spring;0.18
PRD02020;Suit Cotton M;Suit;Cotton;M;Spring;1.05
PRD02021;Shorts Polyester L;Shorts;Polyester;L;Summer;0.24
PRD02022;Skirt Polyester M;Skirt;Polyester;M;Winter;0.26
PRD02023;Shorts Silk M;Shorts;Silk;M;Summer;0.23
PRD02024;Shirt Denim L;Shirt;Denim;L;Winter;0.29
PRD02025;Jacket Polyester M;Jacket;Polyester;M;Winter;0.68
PRD02026;Pants Cotton S;Pants;Cotton;S;Winter;0.39
PRD02027;Sweater Wool M;Sweater;Wool;M;Summer;0.86
PRD02028;Hoodie Polyester M;Hoodie;Polyester;M;Summer;0.89
PRD02029;Pants Polyester L;Pants;Polyester;L;Winter;0.35
PRD02030;Suit Cotton XL;Suit;Cotton;XL;Autumn;1.01
PRD02031;Shirt Polyester S;Shirt;Polyester;S;Spring;0.16
PRD02032;Skirt Cotton M;Skirt;Cotton;M;Spring;0.28
PRD02033;Dress Linen L;Dress;Linen;L;Summer;0.4
PRD02034;Hoodie Polyester XL;Hoodie;Polyester;XL;Winter;0.84
PRD02035;Skirt Silk XL;Skirt;Silk;XL;Winter;0.22
PRD02036;Pants Polyester L;Pants;Polyester;L;Spring;0.28
PRD02037;Shirt Cotton M;Shirt;Cotton;M;Winter;0.2
PRD02038;Shirt Silk S;Shirt;Silk;S;Winter;0.16
PRD02039;Pants Polyester M;Pants;Polyester;M;Summer;0.31
PRD02040;Pants Cotton M;Pants;Cotton;M;Winter;0.37
PRD02041;T-Shirt Polyester L;T-Shirt;Polyester;L;Winter;0.12
PRD02042;Skirt Cotton L;Skirt;Cotton;L;Summer;0.32
PRD02043;Dress Linen L;Dress;Linen;L;Autumn;0.43
PRD02044;Shirt Polyester M;Shirt;Polyester;M;Spring;0.15
PRD02045;T-Shirt Wool L;T-Shirt;Wool;L;Summer;0.19
PRD02046;Sweater Cotton S;Sweater;Cotton;S;Spring;0.62
PRD02047;Shirt Cotton S;Shirt;Cotton;S;Spring;0.19
PRD02048;Coat Denim S;Coat;Denim;S;Winter;1.93
PRD02049;Skirt Linen L;Skirt;Linen;L;Spring;0.29
PRD02050;Shirt Cotton S;Shirt;Cotton;S;Winter;0.19
PRD02051;Dress Cotton L;Dress;Cotton;L;Winter;0.53
PRD02052;Dress Cotton S;Dress;Cotton;S;Winter;0.56
PRD02053;Shirt Wool M;Shirt;Wool;M;Winter;0.23
PRD02054;Shorts Linen XL;Shorts;Linen;XL;Summer;0.36
PRD02055;T-Shirt Wool M;T-Shirt;Wool;M;Summer;0.21
PRD02056;Suit Polyester S;Suit;Polyester;S;Spring;0.82
PRD02057;Dress Linen M;Dress;Linen;M;Summer;0.44
PRD02058;Jacket Polyester XL;Jacket;Polyester;XL;Summer;0.6
PRD02059;Suit Cotton M;Suit;Cotton;M;Summer;1.17
PRD02060;Skirt Polyester M;Skirt;Polyester;M;Autumn;0.25
PRD02061;Shirt Denim M;Shirt;Denim;M;Spring;0.22
PRD02062;Dress Linen M;Dress;Linen;M;Spring;0.37
PRD02063;T-Shirt Polyester S;T-Shirt;Polyester;S;Autumn;0.12
PRD02064;Dress Polyester L;Dress;Polyester;L;Summer;0.41
PRD02065;Shirt Denim L;Shirt;Denim;L;Autumn;0.24
PRD02066;T-Shirt Polyester M;T-Shirt;Polyester;M;Winter;0.1
PRD02067;Pants Cotton L;Pants;Cotton;L;Winter;0.32
PRD02068;Pants Denim L;Pants;Denim;L;Winter;0.48
PRD02069;Shirt Silk XL;Shirt;Silk;XL;Autumn;0.13
PRD02070;Pants Cotton S;Pants;Cotton;S;Spring;0.43
PRD02071;Sweater Polyester M;Sweater;Polyester;M;Summer;0.55
PRD02072;Dress Polyester L;Dress;Polyester;L;Summer;0.44
PRD02073;Pants Cotton S;Pants;Cotton;S;Winter;0.42
PRD02074;Blouse Denim XS;Blouse;Denim;XS;Winter;0.34
PRD02075;Blouse Polyester L;Blouse;Polyester;L;Autumn;0.22
PRD02076;Blouse Silk M;Blouse;Silk;M;Spring;0.15
PRD02077;Pants Cotton M;Pants;Cotton;M;Summer;0.38
PRD02078;Dress Polyester M;Dress;Polyester;M;Winter;0.5
PRD02079;Hoodie Cotton L;Hoodie;Cotton;L;Spring;0.73
PRD02080;T-Shirt Linen M;T-Shirt;Linen;M;Summer;0.13
PRD02081;Shirt Polyester L;Shirt;Polyester;L;Summer;0.17
PRD02082;Shirt Polyester L;Shirt;Polyester;L;Spring;0.13
PRD02083;Dress Cotton M;Dress;Cotton;M;Winter;0.46
PRD02084;Blouse Cotton M;Blouse;Cotton;M;Autumn;0.3
PRD02085;Skirt Cotton S;Skirt;Cotton;S;Winter;0.31
PRD02086;Dress Cotton L;Dress;Cotton;L;Summer;0.47
PRD02087;Shirt Polyester M;Shirt;Polyester;M;Autumn;0.16
PRD02088;Suit Polyester XL;Suit;Polyester;XL;Spring;0.75
PRD02089;T-Shirt Polyester M;T-Shirt;Polyester;M;Spring;0.14
PRD02090;Jacket Polyester M;Jacket;Polyester;M;Autumn;0.58
PRD02091;T-Shirt Cotton M;T-Shirt;Cotton;M;Spring;0.14
PRD02092;Shorts Cotton L;Shorts;Cotton;L;Spring;0.26
PRD02093;Pants Cotton M;Pants;Cotton;M;Autumn;0.39
PRD02094;Dress Linen M;Dress;Linen;M;Winter;0.44
PRD02095;Pants Polyester L;Pants;Polyester;L;Summer;0.36
PRD02096;T-Shirt Cotton M;T-Shirt;Cotton;M;Autumn;0.13
PRD02097;Skirt Cotton M;Skirt;Cotton;M;Winter;0.31
PRD02098;Suit Silk L;Suit;Silk;L;Autumn;0.71
PRD02099;T-Shirt Wool L;T-Shirt;Wool;L;Winter;0.15
PRD02100;Jacket Wool M;Jacket;Wool;M;Winter;0.89
PRD02101;Blouse Polyester XS;Blouse;Polyester;XS;Spring;0.18
PRD02102;Skirt Cotton L;Skirt;Cotton;L;Autumn;0.35
PRD02103;Shirt Denim S;Shirt;Denim;S;Winter;0.27
PRD02104;Coat Linen L;Coat;Linen;L;Spring;1.37
PRD02105;T-Shirt Cotton S;T-Shirt;Cotton;S;Winter;0.09
PRD02106;Pants Linen M;Pants;Linen;M;Spring;0.29
PRD02107;T-Shirt Linen S;T-Shirt;Linen;S;Spring;0.14
PRD02108;Blouse Cotton M;Blouse;Cotton;M;Summer;0.27
PRD02109;Pants Polyester L;Pants;Polyester;L;Summer;0.3
PRD02110;Hoodie Cotton S;Hoodie;Cotton;S;Autumn;0.9
PRD02111;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.2
PRD02112;Pants Wool XL;Pants;Wool;XL;Spring;0.49
PRD02113;Shirt Cotton M;Shirt;Cotton;M;Spring;0.19
PRD02114;Blouse Linen L;Blouse;Linen;L;Autumn;0.24
PRD02115;Suit Denim XL;Suit;Denim;XL;Winter;1.44
PRD02116;Shirt Cotton XL;Shirt;Cotton;XL;Summer;0.18
PRD02117;Jacket Polyester L;Jacket;Polyester;L;Spring;0.56
PRD02118;Suit Linen M;Suit;Linen;M;Winter;0.83
PRD02119;Shirt Linen XL;Shirt;Linen;XL;Autumn;0.18
PRD02120;Blouse Linen L;Blouse;Linen;L;Spring;0.23
PRD02121;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.16
PRD02122;Dress Polyester XS;Dress;Polyester;XS;Summer;0.44
PRD02123;Shorts Polyester XL;Shorts;Polyester;XL;Spring;0.25
PRD02124;Jacket Denim L;Jacket;Denim;L;Winter;1.06
PRD02125;Hoodie Cotton L;Hoodie;Cotton;L;Spring;1.05
PRD02126;Suit Silk S;Suit;Silk;S;Autumn;0.7
PRD02127;Suit Cotton S;Suit;Cotton;S;Spring;1.06
PRD02128;Shirt Denim XL;Shirt;Denim;XL;Winter;0.27
PRD02129;Blouse Wool M;Blouse;Wool;M;Autumn;0.29
PRD02130;Jacket Polyester M;Jacket;Polyester;M;Spring;0.63
PRD02131;Shirt Polyester L;Shirt;Polyester;L;Spring;0.18
PRD02132;Shirt Cotton S;Shirt;Cotton;S;Summer;0.2
PRD02133;Skirt Cotton M;Skirt;Cotton;M;Spring;0.29
PRD02134;Dress Cotton M;Dress;Cotton;M;Summer;0.46
PRD02135;Coat Cotton M;Coat;Cotton;M;Winter;1.56
PRD02136;Blouse Cotton M;Blouse;Cotton;M;Spring;0.24
PRD02137;Shirt Linen S;Shirt;Linen;S;Winter;0.19
PRD02138;Sweater Polyester S;Sweater;Polyester;S;Summer;0.57
PRD02139;Shirt Cotton L;Shirt;Cotton;L;Summer;0.19
PRD02140;T-Shirt Silk XL;T-Shirt;Silk;XL;Spring;0.09
PRD02141;T-Shirt Polyester M;T-Shirt;Polyester;M;Autumn;0.11
PRD02142;Skirt Denim M;Skirt;Denim;M;Summer;0.36
PRD02143;Coat Wool S;Coat;Wool;S;Summer;1.62
PRD02144;Pants Cotton L;Pants;Cotton;L;Winter;0.42
PRD02145;Dress Polyester XL;Dress;Polyester;XL;Spring;0.49
PRD02146;T-Shirt Polyester M;T-Shirt;Polyester;M;Spring;0.11
PRD02147;Dress Cotton M;Dress;Cotton;M;Winter;0.48
PRD02148;Jacket Cotton L;Jacket;Cotton;L;Spring;0.75
PRD02149;Dress Cotton L;Dress;Cotton;L;Spring;0.54
PRD02150;T-Shirt Cotton M;T-Shirt;Cotton;M;Winter;0.16
PRD02151;Pants Polyester L;Pants;Polyester;L;Winter;0.32
PRD02152;Shirt Polyester L;Shirt;Polyester;L;Spring;0.14
PRD02153;Coat Cotton XL;Coat;Cotton;XL;Winter;1.35
PRD02154;T-Shirt Wool S;T-Shirt;Wool;S;Summer;0.18
PRD02155;Shirt Polyester XL;Shirt;Polyester;XL;Spring;0.16
PRD02156;Pants Cotton M;Pants;Cotton;M;Spring;0.4
PRD02157;Shirt Cotton L;Shirt;Cotton;L;Autumn;0.21
PRD02158;Pants Cotton M;Pants;Cotton;M;Winter;0.35
PRD02159;Dress Cotton M;Dress;Cotton;M;Winter;0.52
PRD02160;Sweater Cotton L;Sweater;Cotton;L;Summer;0.72
PRD02161;Suit Cotton M;Suit;Cotton;M;Autumn;0.9
PRD02162;Suit Polyester S;Suit;Polyester;S;Winter;0.75
PRD02163;Jacket Polyester M;Jacket;Polyester;M;Winter;0.68
PRD02164;T-Shirt Cotton M;T-Shirt;Cotton;M;Spring;0.13
PRD02165;Dress Cotton S;Dress;Cotton;S;Autumn;0.62
PRD02166;Hoodie Polyester XL;Hoodie;Polyester;XL;Autumn;0.76
PRD02167;Suit Silk S;Suit;Silk;S;Summer;0.7
PRD02168;Shirt Linen M;Shirt;Linen;M;Winter;0.18
PRD02169;Coat Polyester S;Coat;Polyester;S;Spring;1.29
PRD02170;Pants Cotton M;Pants;Cotton;M;Spring;0.38
PRD02171;Coat Cotton M;Coat;Cotton;M;Summer;1.44
PRD02172;Shirt Silk M;Shirt;Silk;M;Summer;0.16
PRD02173;Shirt Cotton S;Shirt;Cotton;S;Summer;0.19
PRD02174;T-Shirt Denim S;T-Shirt;Denim;S;Winter;0.2
PRD02175;Pants Wool L;Pants;Wool;L;Autumn;0.44
PRD02176;T-Shirt Wool L;T-Shirt;Wool;L;Winter;0.18
PRD02177;Pants Cotton M;Pants;Cotton;M;Summer;0.42
PRD02178;Suit Polyester XS;Suit;Polyester;XS;Summer;0.93
PRD02179;Coat Polyester L;Coat;Polyester;L;Spring;1.09
PRD02180;Dress Cotton S;Dress;Cotton;S;Winter;0.43
PRD02181;Pants Cotton XL;Pants;Cotton;XL;Summer;0.39
