ProductReference;SupplierName;DateOfIncident;IssueDescription;ResolutionStatus;CostImpact (€)
PRD04750;SupplierB;2023-01-27;Labeling Error;Resolved;433.0
PRD04304;SupplierA;2023-01-17;Other;In Progress;116.0
PRD00963;SupplierE;2023-10-03;Missing Items;Resolved;413.0
PRD09025;SupplierD;2023-04-25;Missing Items;In Progress;850.0
PRD09421;SupplierB;2023-10-20;Incorrect Folding;Resolved;146.25
PRD00310;SupplierG;2023-11-21;Missing Items;In Progress;343.0
PRD07332;SupplierG;2024-01-31;Labeling Error;Not Resolved;205.0
PRD08181;SupplierC;2023-07-19;Incorrect Folding;Resolved;451.25
PRD00897;SupplierC;2023-06-15;Other;Resolved;357.0
PRD05562;SupplierD;2024-06-09;Packaging Damage;In Progress;967.0
PRD05477;SupplierA;2024-07-02;Incorrect Folding;Resolved;618.75
PRD02785;SupplierH;2023-01-22;Labeling Error;Resolved;125.0
PRD01146;SupplierC;2023-03-18;Incorrect Folding;Resolved;665.0
PRD06172;SupplierB;2023-04-03;Packaging Damage;Resolved;1723.75
PRD09370;SupplierE;2023-08-17;Other;Resolved;307.0
PRD06519;SupplierC;2024-05-04;Packaging Damage;Resolved;920.0
PRD03224;SupplierC;2023-01-18;Incorrect Folding;In Progress;603.75
PRD01771;SupplierH;2023-06-17;Other;Resolved;198.0
PRD07097;SupplierF;2024-02-11;Product Wrinkled;Not Resolved;697.5
PRD05104;SupplierG;2023-01-19;Other;In Progress;261.0
PRD00589;SupplierD;2024-05-15;Labeling Error;Resolved;391.0
PRD01993;SupplierC;2024-04-19;Packaging Damage;Resolved;1855.0
PRD00943;SupplierH;2024-02-06;Packaging Damage;Resolved;1782.0
PRD04101;SupplierF;2024-02-23;Packaging Damage;Resolved;882.5
PRD00937;SupplierE;2024-06-12;Incorrect Folding;Resolved;685.0
PRD09995;SupplierC;2023-12-13;Incorrect Folding;Resolved;526.25
PRD03763;SupplierB;2024-01-21;Other;Resolved;130.0
PRD06474;SupplierD;2023-01-23;Missing Items;Not Resolved;312.0
PRD00278;SupplierH;2023-04-08;Transportation Damage;Resolved;888.0
PRD05669;SupplierC;2023-07-08;Labeling Error;Resolved;270.0
PRD06273;SupplierA;2023-05-05;Incorrect Folding;Resolved;561.25
PRD09777;SupplierA;2023-09-06;Other;In Progress;181.0
PRD05205;SupplierF;2023-01-13;Other;In Progress;204.0
PRD04945;SupplierF;2024-05-12;Labeling Error;Resolved;325.0
PRD01312;SupplierG;2023-01-30;Labeling Error;Resolved;423.0
PRD09405;SupplierC;2023-01-09;Labeling Error;Resolved;322.0
PRD09649;SupplierG;2023-09-29;Other;Resolved;147.0
PRD09098;SupplierE;2023-11-23;Labeling Error;Resolved;444.0
PRD06805;SupplierE;2024-04-20;Incorrect Folding;Resolved;321.25
PRD04484;SupplierD;2023-02-25;Other;Resolved;278.0
;SupplierA;2023-03-14;Other;In Progress;199.0
PRD05863;SupplierB;2023-07-30;Labeling Error;Not Resolved;119.0
PRD06122;SupplierF;2023-03-27;Other;Resolved;369.0
PRD00974;SupplierD;2023-01-15;Incorrect Folding;Not Resolved;203.75
PRD09100;SupplierC;2024-02-25;Incorrect Folding;Resolved;212.5
PRD00535;SupplierF;2023-03-21;Other;Resolved;69.0
PRD06328;SupplierD;2023-11-02;Other;Resolved;250.0
PRD03824;SupplierC;2024-03-02;Other;Resolved;213.0
PRD08976;SupplierA;2023-07-18;Incorrect Folding;Resolved;582.5
PRD00293;SupplierF;2023-04-29;Labeling Error;Resolved;286.0
PRD03046;SupplierG;2023-05-28;Packaging Damage;Resolved;1776.0
PRD09366;SupplierB;2023-08-05;Other;Resolved;50.0
PRD06483;SupplierC;2023-02-17;Packaging Damage;Resolved;949.0
PRD09875;SupplierE;2023-08-20;Missing Items;Resolved;1014.0
PRD00093;SupplierD;2023-07-04;Other;Resolved;313.0
PRD09932;SupplierF;2023-12-12;Labeling Error;In Progress;209.0
PRD05271;SupplierB;2023-01-28;Labeling Error;Resolved;217.0
PRD05326;SupplierD;2023-04-17;Other;Resolved;224.0
PRD00151;SupplierB;2023-04-28;Incorrect Folding;Not Resolved;276.25
PRD03434;SupplierF;2023-05-22;Other;Resolved;302.0
PRD08253;SupplierF;2023-09-07;Incorrect Folding;Resolved;695.0
PRD07212;SupplierB;2023-01-26;Labeling Error;Resolved;288.0
PRD07406;SupplierC;2023-01-18;Incorrect Folding;In Progress;491.25
PRD04374;SupplierE;2024-03-31;Packaging Damage;Resolved;1802.0
PRD03219;SupplierC;2023-11-11;Packaging Damage;Resolved;510.0
PRD00857;SupplierB;2024-04-19;Incorrect Folding;Resolved;263.75
PRD09650;SupplierH;2024-06-23;Other;Resolved;284.0
PRD08430;SupplierF;2023-08-28;Labeling Error;Resolved;460.0
PRD01256;SupplierB;2024-04-21;Packaging Damage;Resolved;1499.0
PRD02555;SupplierC;2024-04-30;Labeling Error;Resolved;101.0
PRD02079;SupplierD;2024-04-15;Packaging Damage;In Progress;1355.0
PRD07301;SupplierD;2023-08-26;Labeling Error;Resolved;348.0
PRD02292;SupplierF;2023-12-29;Missing Items;Not Resolved;300.0
PRD06756;SupplierC;2024-06-02;Packaging Damage;In Progress;1101.0
PRD01545;SupplierC;2023-11-07;Other;Not Resolved;324.0
PRD04350;SupplierA;2023-07-15;Packaging Damage;Resolved;767.0
PRD08813;SupplierD;2023-05-07;Labeling Error;Resolved;438.0
PRD04554;SupplierA;2023-07-09;Incorrect Folding;Resolved;661.25
PRD06042;SupplierB;2023-12-10;Incorrect Folding;Resolved;495.0
PRD05547;SupplierE;2024-01-02;Labeling Error;Resolved;474.0
PRD08703;SupplierA;2024-03-20;Other;In Progress;226.0
PRD08772;SupplierF;2023-01-16;Other;Not Resolved;233.0
PRD04477;SupplierC;2024-06-21;Incorrect Folding;Resolved;711.25
PRD00980;SupplierC;2023-10-11;Other;Resolved;310.0
PRD05000;SupplierB;2024-01-25;Other;Resolved;366.0
PRD04275;SupplierB;2023-01-31;Other;Resolved;85.0
PRD08209;SupplierD;2023-05-30;Other;In Progress;217.0
PRD03046;SupplierH;2024-04-03;Packaging Damage;Not Resolved;783.0
PRD09946;SupplierD;2024-06-08;Missing Items;In Progress;541.0
PRD06296;SupplierC;2023-07-31;Labeling Error;In Progress;413.0
PRD03135;SupplierA;2024-02-12;Incorrect Folding;In Progress;126.25
PRD03134;SupplierB;2023-03-01;Other;Resolved;284.0
PRD02810;SupplierF;2023-10-11;Packaging Damage;Resolved;1730.0
PRD00584;SupplierD;2023-12-05;Other;Resolved;295.0
PRD05429;SupplierD;2023-08-31;Packaging Damage;Resolved;767.5
PRD03603;SupplierH;2023-11-11;Labeling Error;Resolved;350.0
PRD07716;SupplierC;2023-07-30;Other;Resolved;170.0
PRD02290;SupplierD;2023-10-02;Labeling Error;Resolved;222.0
PRD06529;SupplierG;2023-11-16;Other;Resolved;374.0
PRD05827;SupplierG;2023-04-24;Packaging Damage;Resolved;866.0
PRD04131;SupplierF;2023-06-05;Other;Resolved;357.0
PRD06878;SupplierC;2024-02-03;Labeling Error;Resolved;330.0
PRD07112;SupplierF;2023-09-06;Labeling Error;Resolved;171.0
PRD09718;SupplierG;2023-10-19;Missing Items;Resolved;1309.0
PRD09988;SupplierG;2024-04-22;Other;In Progress;169.0
PRD06691;SupplierB;2023-03-08;Incorrect Folding;In Progress;318.75
PRD09113;SupplierD;2023-08-03;Other;In Progress;62.0
PRD07157;SupplierA;2024-02-15;Missing Items;Resolved;337.0
PRD05228;SupplierC;2024-06-13;Labeling Error;Resolved;340.0
PRD00072;SupplierH;2023-12-01;Labeling Error;Resolved;245.0
PRD04940;SupplierC;2023-09-26;Labeling Error;Resolved;228.0
PRD01468;SupplierG;2023-09-30;Incorrect Folding;Resolved;223.75
PRD04249;SupplierD;2024-02-10;Other;Resolved;370.0
PRD07924;SupplierE;2023-05-15;Incorrect Folding;Resolved;273.75
PRD02635;SupplierB;2024-06-19;Packaging Damage;In Progress;1896.25
PRD03245;SupplierB;2023-05-15;Packaging Damage;Resolved;1578.75
PRD04800;SupplierB;2023-09-07;Packaging Damage;Not Resolved;2216.25
PRD05927;SupplierF;2023-12-04;Labeling Error;Resolved;156.0
PRD08776;SupplierB;2023-08-13;Incorrect Folding;Resolved;718.75
PRD03587;SupplierC;2024-04-14;Other;In Progress;51.0
PRD03214;SupplierC;2023-07-29;Packaging Damage;Resolved;1928.75
PRD06796;SupplierA;2023-11-21;Other;Resolved;121.0
PRD06959;SupplierE;2023-12-12;Incorrect Folding;In Progress;176.25
PRD08227;SupplierB;2023-09-30;Packaging Damage;In Progress;2012.5
PRD09565;SupplierD;2023-01-12;Other;Resolved;213.0
PRD02068;SupplierC;2023-02-22;Other;In Progress;92.0
PRD01974;SupplierC;2023-01-30;Other;Not Resolved;76.0
PRD06685;SupplierA;2024-04-06;Packaging Damage;Resolved;879.0
PRD05493;SupplierC;2024-02-20;Missing Items;Resolved;592.0
PRD03455;SupplierC;2023-01-14;Other;Not Resolved;193.0
PRD00724;SupplierA;2023-03-26;Incorrect Folding;Resolved;340.0
PRD01839;SupplierB;2023-09-20;Missing Items;In Progress;1461.0
PRD02435;SupplierG;2024-05-10;Other;In Progress;319.0
PRD02981;SupplierF;2024-05-02;Transportation Damage;Resolved;897.0
PRD02400;SupplierB;2023-03-17;Packaging Damage;Resolved;1440.0
PRD05233;SupplierA;2023-06-10;Packaging Damage;Not Resolved;1080.0
PRD05644;SupplierE;2024-02-15;Other;Resolved;265.0
PRD03479;SupplierA;2023-06-20;Other;Resolved;116.0
PRD04028;SupplierB;2023-03-21;Labeling Error;Resolved;247.0
PRD06305;SupplierC;2023-11-14;Other;Resolved;74.0
PRD05544;SupplierA;2024-04-11;Incorrect Folding;Resolved;370.0
PRD06197;SupplierB;2023-05-21;Incorrect Folding;In Progress;375.0
PRD01851;SupplierA;2023-11-02;Other;Resolved;257.0
PRD05745;SupplierD;2024-04-15;Labeling Error;Resolved;302.0
PRD00979;SupplierC;2024-05-22;Other;Resolved;94.0
PRD09534;SupplierD;2023-06-21;Incorrect Folding;Resolved;551.25
PRD01869;SupplierD;2023-11-27;Labeling Error;Resolved;394.0
PRD03439;SupplierA;2024-04-03;Incorrect Folding;Resolved;563.75
PRD00840;SupplierD;2023-09-01;Other;Resolved;341.0
PRD02329;SupplierC;2023-04-11;Packaging Damage;Resolved;1553.75
PRD00373;SupplierE;2024-01-02;Labeling Error;Resolved;183.0
PRD08558;SupplierG;2024-03-02;Missing Items;In Progress;1372.0
PRD05293;SupplierC;2023-05-03;Incorrect Folding;In Progress;162.5
PRD04466;SupplierC;2024-05-25;Packaging Damage;In Progress;729.0
PRD03359;SupplierG;2023-07-08;Incorrect Folding;In Progress;302.5
PRD04262;SupplierD;2023-09-18;Labeling Error;Resolved;291.0
PRD04236;SupplierF;2024-05-01;Other;Resolved;163.0
PRD07384;SupplierH;2024-01-07;Other;Resolved;121.0
PRD09427;SupplierB;2024-04-08;Other;Not Resolved;297.0
PRD01057;SupplierF;2023-11-17;Other;Resolved;182.0
PRD00656;SupplierH;2023-08-10;Labeling Error;Resolved;435.0
PRD09856;SupplierC;2023-12-16;Other;Resolved;250.0
PRD07468;SupplierB;2023-01-22;Packaging Damage;Not Resolved;1011.0
PRD09041;SupplierF;2024-01-19;Incorrect Folding;Resolved;690.0
PRD03170;SupplierB;2023-04-20;Incorrect Folding;Resolved;402.5
;SupplierA;2023-12-15;Other;Resolved;152.0
PRD04778;SupplierC;2024-05-19;Other;Resolved;244.0
PRD02742;SupplierF;2024-05-29;Other;Resolved;277.0
PRD02944;SupplierF;2023-03-23;Packaging Damage;Resolved;1931.0
PRD08941;SupplierF;2023-06-27;Incorrect Folding;Resolved;426.25
PRD07689;SupplierA;2024-02-10;Incorrect Folding;In Progress;143.75
PRD02781;SupplierA;2024-04-09;Missing Items;Resolved;1136.0
PRD09551;SupplierF;2023-09-21;Labeling Error;Resolved;350.0
PRD08326;SupplierB;2023-10-20;Labeling Error;In Progress;457.0
PRD08217;SupplierF;2023-07-20;Other;Resolved;250.0
PRD05544;SupplierH;2023-12-02;Incorrect Folding;In Progress;245.0
PRD02928;SupplierF;2023-03-04;Packaging Damage;Resolved;990.0
PRD08531;SupplierG;2023-11-10;Labeling Error;Not Resolved;253.0
PRD02742;SupplierD;2023-09-26;Other;Resolved;305.0
PRD03767;SupplierC;2023-08-15;Missing Items;Resolved;1359.0
PRD06562;SupplierD;2023-11-06;Missing Items;Not Resolved;302.0
PRD08389;SupplierB;2023-12-22;Incorrect Folding;In Progress;318.75
PRD08601;SupplierH;2023-05-06;Transportation Damage;Resolved;697.0
PRD02007;SupplierG;2023-01-23;Packaging Damage;Resolved;573.0
PRD04742;SupplierB;2024-04-15;Labeling Error;Resolved;239.0
PRD03057;SupplierC;2024-03-02;Other;Not Resolved;393.0
PRD00798;SupplierB;2023-08-18;Other;Resolved;179.0
PRD00068;SupplierD;2023-01-24;Labeling Error;Resolved;414.0
PRD00738;SupplierF;2024-02-29;Labeling Error;Resolved;472.0
PRD02009;SupplierD;2023-07-07;Labeling Error;In Progress;444.0
PRD01190;SupplierC;2024-02-08;Packaging Damage;Resolved;1107.0
PRD08748;SupplierC;2023-02-12;Labeling Error;Resolved;121.0
PRD03611;SupplierA;2023-10-08;Other;Resolved;149.0
PRD03498;SupplierB;2024-05-30;Labeling Error;Not Resolved;449.0
PRD08327;SupplierB;2024-07-08;Labeling Error;Not Resolved;360.0
PRD08149;SupplierC;2024-03-24;Other;Resolved;365.0
PRD01406;SupplierD;2024-06-13;Other;Resolved;246.0
PRD00167;SupplierH;2023-06-10;Other;Resolved;144.0
PRD01431;SupplierC;2023-08-27;Other;Not Resolved;125.0
PRD06118;SupplierC;2024-05-23;Other;Resolved;311.0
PRD06180;SupplierC;2023-02-12;Missing Items;In Progress;720.0
PRD03236;SupplierF;2023-09-22;Other;Resolved;290.0
PRD00435;SupplierB;2023-07-01;Incorrect Folding;Not Resolved;271.25
PRD05686;SupplierB;2024-01-24;Packaging Damage;In Progress;1670.0
PRD09589;SupplierG;2024-04-11;Other;Resolved;358.0
PRD01506;SupplierE;2024-04-28;Packaging Damage;Resolved;804.0
PRD03550;SupplierD;2024-04-29;Missing Items;Resolved;849.0
PRD07073;SupplierB;2023-08-03;Other;Resolved;99.0
PRD07432;SupplierF;2024-07-13;Packaging Damage;In Progress;1219.0
PRD02418;SupplierE;2023-09-30;Labeling Error;Not Resolved;358.0
PRD02168;SupplierF;2023-12-03;Labeling Error;Resolved;200.0
;SupplierF;2023-05-27;Missing Items;Resolved;439.0
PRD02099;SupplierD;2024-06-11;Incorrect Folding;Resolved;238.75
PRD09486;SupplierB;2023-02-05;Packaging Damage;Resolved;1596.0
PRD00674;SupplierH;2023-11-18;Other;Resolved;323.0
PRD05750;SupplierE;2023-10-25;Packaging Damage;Resolved;1559.0
PRD04825;SupplierG;2024-01-20;Missing Items;In Progress;746.0
;SupplierH;2023-08-13;Missing Items;Resolved;1243.0
PRD01074;SupplierD;2024-05-11;Labeling Error;Resolved;233.0
PRD07381;SupplierD;2024-06-15;Packaging Damage;Resolved;1166.25
PRD02061;SupplierD;2023-08-14;Labeling Error;Resolved;330.0
PRD00763;SupplierB;2023-12-08;Incorrect Folding;Resolved;340.0
PRD02991;SupplierD;2024-06-02;Incorrect Folding;Resolved;195.0
PRD09996;SupplierC;2024-03-06;Incorrect Folding;Resolved;663.75
PRD02799;SupplierD;2024-01-22;Packaging Damage;Resolved;636.25
PRD06442;SupplierE;2023-03-25;Labeling Error;Resolved;158.0
PRD07285;SupplierE;2023-05-17;Other;Resolved;91.0
PRD04629;SupplierA;2023-05-29;Packaging Damage;Resolved;2153.75
PRD05512;SupplierF;2024-05-06;Missing Items;Resolved;1080.0
PRD01058;SupplierE;2023-04-11;Other;Not Resolved;99.0
PRD06355;SupplierH;2023-04-14;Other;In Progress;159.0
PRD07078;SupplierD;2023-06-07;Packaging Damage;In Progress;1894.0
PRD06188;SupplierA;2024-03-01;Incorrect Folding;Resolved;623.75
PRD05175;SupplierB;2023-12-25;Packaging Damage;Resolved;1861.0
PRD08685;SupplierC;2023-02-16;Missing Items;Not Resolved;513.0
PRD07621;SupplierD;2023-06-23;Labeling Error;Not Resolved;383.0
PRD03777;SupplierF;2024-03-25;Labeling Error;Resolved;457.0
PRD09639;SupplierC;2023-02-01;Packaging Damage;Resolved;688.0
PRD07482;SupplierB;2024-02-20;Incorrect Folding;Resolved;362.5
PRD03071;SupplierD;2023-08-01;Packaging Damage;Resolved;561.0
PRD04769;SupplierA;2023-02-26;Packaging Damage;Resolved;1531.0
PRD03202;SupplierC;2023-12-29;Other;Resolved;323.0
PRD05948;SupplierB;2023-06-12;Other;Resolved;286.0
PRD08300;SupplierC;2023-10-22;Incorrect Folding;Resolved;233.75
PRD04045;SupplierB;2023-05-29;Other;In Progress;133.0
PRD08606;SupplierF;2024-07-03;Other;Not Resolved;276.0
PRD01215;SupplierB;2023-05-07;Packaging Damage;Resolved;1813.0
PRD07575;SupplierB;2023-10-22;Labeling Error;Resolved;459.0
PRD09774;SupplierA;2023-08-27;Packaging Damage;Resolved;838.0
PRD00775;SupplierF;2023-09-19;Labeling Error;In Progress;160.0
PRD05764;SupplierB;2023-11-03;Labeling Error;In Progress;254.0
PRD04545;SupplierF;2024-05-21;Other;Resolved;388.0
PRD05241;SupplierD;2024-03-06;Packaging Damage;Resolved;1027.0
PRD09440;SupplierH;2024-01-29;Packaging Damage;Resolved;862.5
PRD08138;SupplierA;2023-01-20;Incorrect Folding;Resolved;476.25
PRD02430;SupplierC;2024-03-19;Labeling Error;Resolved;153.0
PRD02536;SupplierA;2023-07-07;Labeling Error;Resolved;490.0
PRD08874;SupplierC;2024-02-15;Labeling Error;Not Resolved;267.0
PRD07612;SupplierD;2023-02-18;Labeling Error;Resolved;124.0
PRD01300;SupplierA;2023-08-01;Packaging Damage;In Progress;1124.0
PRD01381;SupplierF;2023-06-24;Labeling Error;Resolved;142.0
PRD02069;SupplierC;2023-05-25;Incorrect Folding;Resolved;666.25
PRD09095;SupplierA;2023-10-01;Other;Not Resolved;250.0
PRD05550;SupplierD;2023-04-05;Labeling Error;Resolved;393.0
PRD09607;SupplierE;2023-04-16;Incorrect Folding;Resolved;490.0
PRD02813;SupplierC;2023-08-04;Packaging Damage;Resolved;1357.0
PRD01880;SupplierD;2023-08-18;Incorrect Folding;Resolved;145.0
PRD05700;SupplierG;2024-04-29;Other;In Progress;87.0
PRD07102;SupplierA;2023-09-28;Other;Resolved;216.0
PRD03771;SupplierD;2023-08-09;Missing Items;Not Resolved;738.0
PRD03001;SupplierB;2023-09-27;Packaging Damage;Resolved;1211.0
PRD03495;SupplierE;2024-01-05;Packaging Damage;Resolved;1386.25
PRD01169;SupplierB;2023-01-13;Labeling Error;Resolved;493.0
PRD03555;SupplierF;2024-01-24;Labeling Error;Resolved;170.0
PRD08689;SupplierA;2024-05-20;Missing Items;Resolved;1100.0
PRD08551;SupplierA;2024-03-22;Incorrect Folding;Resolved;547.5
PRD01039;SupplierE;2024-06-12;Incorrect Folding;Resolved;156.25
PRD07508;SupplierA;2023-06-04;Product Wrinkled;Resolved;227.5
PRD01252;SupplierA;2023-03-17;Incorrect Folding;Resolved;456.25
;SupplierB;2024-02-29;Missing Items;Resolved;834.0
PRD06588;SupplierE;2023-10-31;Labeling Error;Resolved;102.0
PRD07975;SupplierB;2023-06-02;Other;Resolved;184.0
PRD07316;SupplierF;2023-08-04;Packaging Damage;Not Resolved;1606.25
PRD02727;SupplierA;2023-08-29;Labeling Error;In Progress;202.0
PRD02909;SupplierD;2023-03-20;Other;Not Resolved;182.0
PRD06769;SupplierC;2024-06-05;Labeling Error;Not Resolved;318.0
PRD07623;SupplierG;2023-09-11;Labeling Error;Resolved;436.0
PRD02515;SupplierF;2024-04-28;Transportation Damage;In Progress;553.0
PRD06248;SupplierD;2023-08-11;Incorrect Folding;Resolved;412.5
PRD01266;SupplierH;2023-12-23;Incorrect Folding;In Progress;405.0
PRD06809;SupplierE;2023-11-12;Incorrect Folding;Not Resolved;621.25
PRD03655;SupplierA;2023-02-12;Labeling Error;In Progress;411.0
PRD04501;SupplierE;2023-11-17;Incorrect Folding;Resolved;493.75
PRD00309;SupplierB;2023-10-29;Incorrect Folding;In Progress;260.0
PRD09830;SupplierB;2023-11-30;Packaging Damage;Resolved;1891.25
PRD03336;SupplierG;2024-06-18;Incorrect Folding;Resolved;168.75
PRD00407;SupplierF;2023-04-25;Packaging Damage;Not Resolved;767.0
PRD07852;SupplierC;2023-07-11;Packaging Damage;Not Resolved;1558.0
PRD09348;SupplierD;2023-09-17;Labeling Error;Resolved;408.0
PRD03039;SupplierE;2024-06-27;Labeling Error;Resolved;435.0
PRD07907;SupplierC;2024-01-19;Labeling Error;Resolved;387.0
PRD09556;SupplierD;2023-10-20;Labeling Error;Resolved;454.0
PRD09054;SupplierF;2023-11-07;Other;Resolved;87.0
PRD01349;SupplierC;2024-02-18;Other;In Progress;129.0
PRD05390;SupplierB;2024-02-09;Incorrect Folding;Resolved;425.0
PRD03692;SupplierC;2023-08-19;Other;Resolved;97.0
PRD07218;SupplierC;2023-10-08;Packaging Damage;Resolved;1830.0
PRD00877;SupplierD;2023-10-26;Packaging Damage;Resolved;783.0
PRD08045;SupplierC;2023-05-20;Other;Resolved;161.0
PRD08484;SupplierA;2023-05-06;Incorrect Folding;Resolved;738.75
PRD06519;SupplierC;2023-08-03;Packaging Damage;Resolved;1800.0
PRD00972;SupplierE;2024-02-11;Other;In Progress;323.0
PRD01066;SupplierB;2023-08-18;Other;Resolved;92.0
PRD07737;SupplierD;2024-05-21;Incorrect Folding;In Progress;333.75
PRD00754;SupplierD;2024-04-06;Incorrect Folding;Resolved;678.75
PRD07603;SupplierG;2023-04-24;Other;In Progress;237.0
PRD09482;SupplierD;2023-11-09;Other;Resolved;245.0
PRD05622;SupplierE;2023-02-12;Labeling Error;Resolved;484.0
PRD09197;SupplierD;2024-05-19;Other;Resolved;294.0
PRD00472;SupplierA;2024-06-20;Incorrect Folding;Resolved;186.25
PRD03665;SupplierH;2024-03-10;Other;Resolved;168.0
PRD06838;SupplierE;2023-10-20;Packaging Damage;Resolved;1665.0
PRD04152;SupplierB;2024-07-08;Incorrect Folding;Resolved;607.5
PRD03519;SupplierC;2023-04-10;Labeling Error;Resolved;383.0
PRD05745;SupplierF;2024-01-02;Labeling Error;Resolved;453.0
PRD05088;SupplierD;2023-08-22;Labeling Error;In Progress;361.0
PRD09756;SupplierC;2023-04-01;Other;Not Resolved;376.0
PRD00412;SupplierC;2023-09-14;Missing Items;Resolved;916.0
PRD03370;SupplierA;2023-09-24;Packaging Damage;Resolved;1972.0
PRD02427;SupplierF;2023-04-25;Labeling Error;In Progress;210.0
PRD01892;SupplierA;2024-04-19;Packaging Damage;Resolved;1187.0
PRD06733;SupplierE;2024-06-29;Other;Resolved;335.0
PRD06717;SupplierE;2023-09-03;Labeling Error;Resolved;313.0
PRD08796;SupplierC;2023-07-03;Other;Resolved;317.0
PRD02138;SupplierF;2023-08-05;Other;Resolved;117.0
PRD06038;SupplierH;2024-07-05;Labeling Error;Not Resolved;219.0
PRD06441;SupplierC;2024-02-15;Other;Resolved;216.0
PRD08370;SupplierC;2023-04-12;Labeling Error;Resolved;453.0
PRD07533;SupplierF;2023-07-09;Other;In Progress;114.0
PRD01369;SupplierB;2023-03-15;Labeling Error;In Progress;242.0
PRD07739;SupplierA;2023-09-04;Packaging Damage;In Progress;1234.0
PRD09546;SupplierD;2024-03-31;Labeling Error;Resolved;111.0
PRD08716;SupplierC;2023-07-16;Incorrect Folding;Resolved;708.75
PRD08247;SupplierD;2023-03-06;Other;Resolved;204.0
PRD02797;SupplierD;2023-12-01;Missing Items;Resolved;502.0
PRD00184;SupplierF;2024-05-02;Labeling Error;Resolved;283.0
PRD09090;SupplierD;2023-10-09;Packaging Damage;In Progress;745.0
PRD04822;SupplierA;2023-04-10;Missing Items;Resolved;1109.0
PRD08089;SupplierD;2024-05-20;Labeling Error;Resolved;440.0
PRD01515;SupplierE;2023-04-14;Incorrect Folding;Resolved;142.5
PRD08232;SupplierF;2023-11-19;Other;Not Resolved;338.0
PRD01185;SupplierA;2023-04-26;Incorrect Folding;Resolved;588.75
PRD02750;SupplierE;2023-04-05;Packaging Damage;Resolved;1324.0
PRD09273;SupplierG;2024-01-27;Packaging Damage;Resolved;878.0
PRD03593;SupplierA;2024-01-18;Incorrect Folding;Resolved;485.0
PRD06104;SupplierF;2024-03-27;Labeling Error;Resolved;238.0
PRD05840;SupplierA;2023-03-29;Packaging Damage;Resolved;1950.0
PRD07248;SupplierF;2024-02-24;Labeling Error;Resolved;129.0
;SupplierC;2023-06-18;Missing Items;In Progress;1074.0
PRD09390;SupplierD;2023-07-18;Other;Resolved;249.0
PRD05971;SupplierC;2024-04-30;Product Wrinkled;In Progress;333.75
PRD01298;SupplierE;2024-05-24;Labeling Error;In Progress;122.0
PRD01289;SupplierF;2023-10-24;Labeling Error;Resolved;130.0
PRD01444;SupplierE;2023-09-03;Other;Resolved;82.0
PRD08395;SupplierD;2024-02-22;Labeling Error;Resolved;453.0
PRD08743;SupplierE;2023-01-15;Packaging Damage;Resolved;2321.25
PRD04099;SupplierE;2023-01-26;Other;Resolved;215.0
PRD07985;SupplierF;2024-04-19;Packaging Damage;In Progress;1921.25
PRD06869;SupplierC;2023-03-25;Missing Items;Resolved;1376.0
PRD06695;SupplierC;2023-10-31;Missing Items;Resolved;805.0
PRD00002;SupplierF;2024-02-18;Other;Resolved;101.0
PRD02701;SupplierA;2024-05-14;Other;Resolved;72.0
PRD04006;SupplierD;2024-05-11;Incorrect Folding;Resolved;398.75
PRD06523;SupplierF;2024-05-03;Labeling Error;Resolved;400.0
PRD02400;SupplierA;2023-06-06;Packaging Damage;Resolved;1406.0
PRD03665;SupplierC;2023-11-10;Missing Items;Resolved;1351.0
PRD09356;SupplierA;2024-04-08;Labeling Error;Resolved;110.0
PRD04160;SupplierC;2023-06-01;Other;Resolved;375.0
PRD04303;SupplierF;2024-06-01;Other;Resolved;377.0
PRD00424;SupplierB;2023-05-19;Other;In Progress;104.0
PRD07677;SupplierB;2023-06-02;Packaging Damage;Resolved;2400.0
PRD06564;SupplierC;2023-01-10;Other;Resolved;389.0
PRD00969;SupplierF;2024-01-12;Incorrect Folding;Resolved;656.25
PRD04996;SupplierD;2024-02-10;Incorrect Folding;Resolved;658.75
PRD01742;SupplierC;2024-04-03;Other;Resolved;220.0
PRD00902;SupplierF;2024-05-14;Labeling Error;Resolved;272.0
PRD00105;SupplierF;2024-04-06;Incorrect Folding;Resolved;373.75
PRD09575;SupplierF;2024-02-20;Transportation Damage;Resolved;1452.0
PRD05627;SupplierC;2024-01-07;Other;Resolved;274.0
PRD08806;SupplierD;2024-05-14;Labeling Error;In Progress;293.0
PRD08803;SupplierH;2024-04-10;Missing Items;Not Resolved;844.0
PRD09903;SupplierE;2024-01-28;Labeling Error;Resolved;417.0
PRD08303;SupplierD;2023-08-07;Packaging Damage;Resolved;982.0
PRD00821;SupplierD;2023-12-17;Labeling Error;Resolved;359.0
PRD08484;SupplierA;2024-04-27;Product Wrinkled;Not Resolved;347.5
PRD07963;SupplierA;2024-05-15;Labeling Error;Resolved;240.0
PRD04418;SupplierD;2024-05-06;Labeling Error;Resolved;134.0
PRD02249;SupplierF;2024-03-23;Other;Resolved;241.0
PRD01002;SupplierD;2023-08-30;Other;Resolved;222.0
PRD03493;SupplierE;2023-07-03;Labeling Error;Not Resolved;406.0
PRD09488;SupplierD;2023-07-08;Labeling Error;In Progress;103.0
PRD09327;SupplierC;2024-06-02;Packaging Damage;Resolved;1231.0
